Rnd,Pick,Tm,Player,Pos,Age,Career Length,AP1,PB,Years Starter,CarAV,DrAV,NFL G,NFL Cmp,NFL Att,NFL Pass Yds,NFL Pass TD,NFL Int,NFL Rush Att,NFL Rush Yds,NFL Rush TD,NFL Rec,NFL Rec Yds,NFL Rec TD,College/Univ,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,NCAA G,NCAA Cmp,NCAA Pass Att,NCAA Pass Pct,NCAA Pass Yds,NCAA Pass Y/A,NCAA Pass AY/A,NCAA Pass TD,NCAA Pass Int,NCAA Pass Rate,NCAA Rec,NCAA Rec Yds,NCAA Avg,NCAA Rec TD,NCAA Rush Att,NCAA Rush Yds,NCAA Rush Avg,NCAA RushTD
1,1,SFO,Alex Smith\SmitAl03,QB,21,10,0,1,8,72,31,133,2362,3852,25982,150,85,440,1975,9,2,-10,0,Utah,76,217,4.71,,32,113,3.97,6.82,25,389,587,66.3,5203,8.9,9.9,47,8,164.4,3,38,12.7,0,286,1072,3.7,15
1,2,MIA,Ronnie Brown\BrowRo05,RB,23,10,0,1,5,41,36,132,4,12,63,2,0,1281,5391,38,246,1966,2,Auburn,73,233,4.43,18,34,117,4.14,7.12,48,0,,,,,,,,,58,668,11.5,2,513,2707,5.3,28
1,3,CLE,Braylon Edwards\EdwaBr00,WR,22,8,0,1,5,41,28,112,0,1,0,0,0,4,11,0,359,5522,40,Michigan,75,210,4.45,22,38,,4.02,6.83,44,0,,,,,,,,,252,3541,14.1,39,10,72,7.2,0
1,4,CHI,Cedric Benson\BensCe00,RB,22,8,0,0,5,34,9,96,,,,,,1600,6017,32,120,833,1,Texas,70,222,4.62,21,33,,4.3,7.5,49,0,,,,,,,,,69,621,9,3,1112,5540,5,64
1,5,TAM,Cadillac Williams\WillCa02,RB,23,7,0,0,4,26,25,81,,,,,,1055,4038,21,148,1002,4,Auburn,71,217,4.43,19,35.5,118,4.17,6.95,42,0,,,,,,,,,45,342,7.6,1,741,3831,5.2,45
1,7,MIN,Troy Williamson\WillTr01,WR,22,5,0,0,2,8,8,49,,,,,,6,58,0,87,1131,4,South Carolina,74,203,4.32,,37,,4.18,7.1,34,0,,,,,,,,,91,1754,19.3,13,12,101,8.4,0
1,10,DET,Mike Williams\WillMi03,WR,21,7,0,0,2,12,4,56,,,,,,1,0,0,127,1526,5,USC,77,229,4.56,,36.5,123,4.23,6.95,33,0,,,,,,,,,146,2322,15.9,16,0,0,0,0
1,22,BAL,Mark Clayton\ClayMa01,WR,23,7,0,0,3,27,26,83,2,5,32,1,0,26,118,2,260,3448,14,Oklahoma,71,193,4.41,,36.5,118,4.07,6.95,51,0,,,,,,,,,220,3236,14.7,31,14,82,5.9,0
1,24,GNB,Aaron Rodgers\RodgAa00,QB,21,10,2,5,8,112,112,134,2835,4365,34438,277,70,468,2374,23,1,-1,0,California,74,223,4.71,,34.5,110,4.32,7.39,25,424,665,63.8,5469,8.2,8.6,43,13,150.3,1,10,10,0,160,336,2.1,8
1,25,WAS,Jason Campbell\CampJa00,QB,23,10,0,0,5,47,33,90,1519,2518,16771,87,60,240,1204,6,,,,Auburn,77,230,4.72,,38,,4.25,7.42,48,552,854,64.6,7299,8.5,8.3,45,24,148.2,0,0,0,0,249,307,1.2,9
1,27,ATL,Roddy White\WhitRo00,WR,23,10,1,4,10,88,88,171,,,,,,9,19,0,808,10863,63,Ala-Birmingham,73,207,4.46,18,41,126,4.01,7.12,45,0,,,,,,,,,163,3112,19.1,26,1,17,17,0
2,35,PHI,Reggie Brown\BrowRe01,WR,24,5,0,0,3,20,20,72,,,,,,11,68,1,177,2574,17,Georgia,74,196,4.45,,41.5,128,4,6.99,52,0,,,,,,,,,144,2008,13.9,12,11,87,7.9,0
2,39,CHI,Mark Bradley\BradMa00,WR,23,5,0,0,1,10,5,57,2,2,63,1,0,2,20,0,92,1283,9,Oklahoma,74,201,4.37,,39.5,128,4.02,6.96,25,0,,,,,,,,,34,685,20.1,9,34,685,20.1,9
2,44,ARI,J.J. Arrington\ArriJ.00,RB,22,4,0,0,0,11,11,58,0,1,0,0,0,183,654,3,91,693,2,California,69,214,4.4,18,35,121,4.1,6.81,25,0,,,,,,,,,42,299,7.1,3,396,2625,6.6,20
2,54,CAR,Eric Shelton\ShelEr00,RB,22,2,0,0,0,0,0,9,,,,,,8,23,0,1,6,0,Louisville,74,246,4.53,,38.5,124,4.08,7.46,33,0,,,,,,,,,7,54,7.7,0,341,1858,5.4,30
2,55,BUF,Roscoe Parrish\ParrRo00,WR,23,8,0,0,0,14,14,90,1,1,3,0,0,14,71,1,134,1502,7,Miami (FL),70,170,4.37,,36,126,4.2,6.64,36,0,,,,,,,,,86,1355,15.8,12,19,186,9.8,1
2,58,GNB,Terrence Murphy\MurpTe00,WR,22,1,0,0,0,0,0,3,,,,,,,,,5,36,0,Texas A&M,73,202,4.39,,41,128,3.91,7.02,45,0,,,,,,,,,172,2600,15.1,10,17,209,12.3,1
2,61,SDG,Vincent Jackson\JackVi00,WR,22,10,0,3,8,75,49,155,,,,,,15,161,0,540,9080,57,Northern Colorado,77,241,4.46,23,39,129,4,6.9,22,0,,,,,,,,,146,2844,19.48,32,0,0,0,0
3,65,SFO,Frank Gore\GoreFr00,RB,22,10,0,5,10,81,77,173,,,,,,2847,12632,74,400,3280,15,Miami (FL),69,217,4.48,,34,109,4.11,6.91,28,0,,,,,,,,,23,225,9.8,0,348,1975,5.7,17
3,67,CLE,Charlie Frye\FryeCh00,QB,24,5,0,0,1,8,7,26,419,676,4154,17,29,72,347,4,,,,Akron,76,225,4.79,,33,113,4.09,6.95,44,913,1436,63.6,11049,7.7,7.6,64,32,138.5,2,10,5,0,375,429,1.1,19
3,68,TEN,Courtney Roby\RobyCo00,WR,22,10,0,0,0,3,2,92,,,,,,3,19,0,26,343,1,Indiana,73,189,4.41,,36.5,126,4,6.61,45,0,,,,,,,,,170,2524,14.8,12,31,207,6.7,2
3,69,OAK,Andrew Walter\WaltAn00,QB,23,4,0,0,1,1,1,15,174,333,1919,3,16,19,49,0,,,,Arizona St.,78,223,4.86,,30,,4.33,7.55,48,777,1416,54.9,10617,7.5,7.6,85,36,132.6,1,-8,-8,0,175,-475,-2.7,0
3,73,HOU,Vernand Morency\MoreVe00,RB,25,3,0,0,0,8,2,39,,,,,,171,726,4,57,404,0,Oklahoma St.,70,212,4.51,19,33.5,108,4.2,7.02,30,0,,,,,,,,,11,119,10.8,1,451,2661,5.9,23
3,77,PHI,Ryan Moats\MoatRy00,RB,22,5,0,0,0,7,2,38,,,,,,204,831,8,20,127,1,Louisiana Tech,68,210,4.46,19,36,117,4.11,7.22,34,0,,,,,,,,,48,441,9.2,2,499,3112,6.2,28
3,83,CIN,Chris Henry\HenrCh00,WR,22,5,0,0,0,16,16,55,,,,,,,,,119,1826,21,West Virginia,76,197,4.5,,36,,4.15,6.9,23,0,,,,,,,,,93,1878,20.2,22,1,2,2,0
3,85,SEA,David Greene,QB,23,0,0,0,0,,,,,,,,,,,,,,,Georgia,76,226,4.78,,31.5,115,4.13,7,51,849,1440,59,11528,8,8,72,32,138.3,1,8,8,0,204,-258,-1.3,5
3,96,TEN,Brandon Jones\JoneBr02,WR,22,5,0,0,2,12,12,59,,,,,,6,76,0,113,1398,9,Oklahoma,74,208,4.42,,37,114,4.1,7.03,46,0,,,,,,,,,82,1187,14.5,14,1,0,0,0
3,101,DEN,Maurice Clarett,RB,22,0,0,0,0,,,,,,,,,,,,,,,Ohio St.,73,234,4.78,22,34,115,4.42,7.41,11,0,,,,,,,,,12,104,8.7,2,222,1237,5.6,16
