Rnd,Pick,Tm,Player,Pos,Age,Career Length,AP1,PB,Years Starter,CarAV,DrAV,NFL G,NFL Cmp,NFL Att,NFL Pass Yds,NFL Pass TD,NFL Int,NFL Rush Att,NFL Rush Yds,NFL Rush TD,NFL Rec,NFL Rec Yds,NFL Rec TD,College/Univ,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,NCAA G,NCAA Cmp,NCAA Pass Att,NCAA Pass Pct,NCAA Pass Yds,NCAA Pass Y/A,NCAA Pass AY/A,NCAA Pass TD,NCAA Pass Int,NCAA Pass Rate,NCAA Rec,NCAA Rec Yds,NCAA Avg,NCAA Rec TD,NCAA Rush Att,NCAA Rush Yds,NCAA Rush Avg,NCAA RushTD
1,2,NOR,Reggie Bush\BushRe00,RB,21,10,0,0,6,60,33,128,0,1,0,0,1,1283,5491,36,475,3577,18,USC,71,201,4.37,24,40.5,128,,,39,0,,,,,,,,,95,1301,13.7,13,433,3169,7.3,25
1,3,TEN,Vince Young\YounVi00,QB,23,6,0,2,4,33,31,60,755,1304,8964,46,51,282,1459,12,,,,Texas,77,229,4.48,,,,,,37,444,718,61.8,6040,8.4,7.9,44,28,144.9,1,48,48,0,457,3127,6.8,37
1,10,ARI,Matt Leinart\LeinMa00,QB,23,7,0,0,1,12,12,33,366,641,4065,15,21,47,89,2,,,,USC,77,223,4.9,,,,,,39,807,1245,64.8,10693,8.6,9.3,99,23,159.5,2,26,13,1,132,-70,-0.5,9
1,11,DEN,Jay Cutler\CutlJa00,QB,23,10,0,1,9,83,27,138,2765,4461,32215,207,145,366,1647,9,,,,Vanderbilt,75,226,4.77,23,,,4.31,7.12,45,710,1242,57.2,8697,7,6.6,59,36,125.9,,,,,453,1256,2.8,17
1,21,NWE,Laurence Maroney\MaroLa00,RB,21,5,0,0,0,26,25,49,,,,,,618,2504,21,44,459,1,Minnesota,72,217,4.48,21,36,123,,,36,0,,,,,,,,,21,197,9.4,1,660,3933,6,32
1,25,PIT,Santonio Holmes\HolmSa00,WR,22,9,0,0,6,47,35,112,0,1,0,0,0,16,89,0,389,6030,36,Ohio St.,71,188,4.35,,38,126,4.26,6.82,36,0,,,,,,,,,140,2295,16.4,25,3,18,6,0
1,27,CAR,DeAngelo Williams\WillDe02,RB,23,10,0,1,6,59,51,140,,,,,,1707,8029,60,233,2079,8,Memphis,69,214,4.49,25,35.5,,,,44,0,,,,,,,,,70,723,10.3,5,969,6026,6.2,55
1,30,IND,Joseph Addai\AddaJo00,RB,23,6,0,1,4,50,50,78,1,1,22,1,0,1095,4453,39,191,1448,9,LSU,71,214,4.4,18,38.5,125,4.48,7.1,51,0,,,,,,,,,66,641,9.7,6,490,2576,5.3,18
2,36,NWE,Chad Jackson\JackCh00,WR,21,3,0,0,0,2,2,18,,,,,,4,22,0,14,171,3,Florida,73,213,4.32,,38.5,122,4.03,6.74,37,0,,,,,,,,,120,1586,13.2,16,17,90,5.3,2
2,44,NYG,Sinorice Moss\MossSi00,WR,22,4,0,0,0,4,4,37,,,,,,1,4,0,39,421,3,Miami (FL),68,185,4.38,,,,,,48,0,,,,,,,,,68,1106,16.3,9,9,59,6.6,0
