Rnd,Pick,Tm,Player,Pos,Age,Career Length,AP1,PB,Years Starter,CarAV,DrAV,NFL G,NFL Cmp,NFL Att,NFL Pass Yds,NFL Pass TD,NFL Int,NFL Rush Att,NFL Rush Yds,NFL Rush TD,NFL Rec,NFL Rec Yds,NFL Rec TD,College/Univ,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,NCAA G,NCAA Cmp,NCAA Pass Att,NCAA Pass Pct,NCAA Pass Yds,NCAA Pass Y/A,NCAA Pass AY/A,NCAA Pass TD,NCAA Pass Int,NCAA Pass Rate,NCAA Rec,NCAA Rec Yds,NCAA Avg,NCAA Rec TD,NCAA Rush Att,NCAA Rush Yds,NCAA Rush Avg,NCAA RushTD
1,1,OAK,JaMarcus Russell,QB,22,4,0,0,2,6,6,31,354,680,4083,18,23,40,175,1,0,0,0,LSU,78,265,4.83,,,,,,36,493,797,61.9,6625,8.3,8.4,52,21,147.9,0,,,0,139,79,0.6,4
1,2,DET,Calvin Johnson,WR,22,9,3,6,9,78,78,135,,,,,,19,167,1,731,11619,83,Georgia Tech,77,239,4.35,,,,,,38,0,,,,,,,,,178,2927,16.4,28,10,40,4,1
1,7,MIN,Adrian Peterson,RB,22,10,4,7,8,88,88,122,,,,,,2412,11725,97,240,1944,5,Oklahoma,74,217,4.4,,38.5,127,4.4,7.09,31,0,,,,,,,,,24,198,8.3,1,748,4041,5.4,41
1,9,MIA,Ted Ginn,WR,22,10,0,0,4,37,16,143,1,1,10,0,0,44,341,2,279,3817,21,Ohio St.,71,178,4.35,,,,,,37,0,,,,,,,,,135,1943,14.4,15,28,213,7.6,3
1,12,BUF,Marshawn Lynch,RB,21,9,1,5,7,68,16,127,1,3,8,1,0,2144,9112,74,252,1979,9,California,71,215,4.46,20,35.5,125,4.58,7.09,42,3,4,75,55,13.8,23.8,2,0,355.5,490,3230,6.6,29,68,600,8.8,6
1,22,CLE,Brady Quinn,QB,22,6,0,0,2,2,3,24,296,550,3043,12,17,44,185,1,1,18,0,Notre Dame,75,232,4.73,24,,,,,49,929,1602,58,11762,7.3,7.4,95,39,134.4,2,0,0,0,254,182,0.7,6
1,23,KAN,Dwayne Bowe,WR,23,9,0,1,8,49,49,125,,,,,,2,16,0,537,7208,44,LSU,74,221,4.51,,33,125,4.35,6.81,46,0,,,,,,,,,154,2403,15.6,26,1,2,2,0
1,27,NOR,Robert Meachem,WR,23,8,0,0,1,26,25,103,,,,,,18,127,1,178,2914,27,Tennessee,74,214,4.39,,37.5,121,4.31,6.97,37,0,,,,,,,,,125,2140,17.1,17,7,3,0.4,0
1,30,SDG,Craig Davis,WR,21,4,0,0,0,7,7,25,,,,,,4,13,0,51,558,2,LSU,,,,,,,,,40,0,,,,,,,,,141,2117,15,7,5,20,4,0
1,32,IND,Anthony Gonzalez,WR,23,5,0,0,1,16,16,40,,,,,,,,,99,1307,7,Ohio St.,73,193,4.44,,38,123,4.08,6.54,33,0,,,,,,,,,87,1286,14.8,13,3,36,12,0
2,36,PHI,Kevin Kolb,QB,23,6,0,0,1,12,4,34,449,755,5206,28,25,69,229,2,,,,Houston,75,218,4.85,,32.5,112,4.44,6.94,50,964,1565,61.6,12964,8.3,8.5,85,31,145.1,1,8,8,0,472,751,1.6,21
2,40,MIA,John Beck,QB,26,5,0,0,0,4,2,9,140,239,1417,3,7,19,55,3,,,,BYU,74,215,4.75,,29.5,111,4.17,6.81,43,885,1418,62.4,11021,7.8,7.8,79,34,141.3,1,3,3,0,267,38,0.1,9
2,43,DET,Drew Stanton,QB,23,10,0,0,1,9,4,32,264,496,3157,14,18,71,213,2,,,,Michigan St.,75,226,4.75,,30.5,108,4.41,6.77,45,543,846,64.2,6524,7.7,7.2,42,28,138.7,3,16,5.3,1,332,1512,4.6,15
2,44,MIN,Sidney Rice,WR,21,7,0,1,3,33,20,81,4,7,174,0,0,4,9,0,243,3592,30,South Carolina,76,200,4.51,,39.5,119,4.34,7.09,24,0,1,0,0,0,0,0,0,0,142,2233,15.7,23,1,6,6,0
2,45,CAR,Dwayne Jarrett,WR,21,4,0,0,0,4,4,32,,,,,,1,11,0,35,428,1,USC,76,219,4.62,,36.5,121,4.2,7.28,38,1,4,25,11,2.8,-8.5,0,1,-1.9,216,3138,14.5,41,3,1,0.3,0
2,49,CIN,Kenny Irons,RB,22,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,Auburn,71,203,4.45,,38,123,4.17,7,37,0,,,,,,,,,30,313,10.4,1,520,2438,4.7,18
2,50,TEN,Chris Henry,RB,22,4,0,0,0,1,1,11,,,,,,32,122,2,6,53,0,Arizona,71,230,4.4,26,36,127,4.16,6.96,35,0,,,,,,,,,26,205,7.9,1,269,892,3.3,9
2,51,NYG,Steve Smith,WR,22,6,0,1,1,23,21,64,,,,,,,,,245,2641,12,USC,73,197,4.44,,38,120,4.19,6.68,46,0,,,,,,,,,190,3019,15.9,22,4,18,4.5,0
2,52,STL,Brian Leonard,RB,23,8,0,0,0,11,3,88,,,,,,221,828,0,143,1008,1,Rutgers,74,226,4.52,28,34.5,122,4.22,6.88,47,0,,,,,,,,,207,1868,9,13,678,2775,4.1,32
2,63,GNB,Brandon Jackson,RB,21,6,0,0,1,16,16,54,,,,,,355,1383,7,112,864,2,Nebraska,70,210,4.54,21,37,122,4.14,7,33,0,,,,,,,,,34,318,9.4,2,291,1431,4.9,14
3,71,MIA,Lorenzo Booker,RB,23,5,0,0,0,4,3,36,,,,,,61,230,0,47,362,0,Florida St.,71,191,4.46,26,35.5,121,,,48,0,,,,,,,,,114,995,8.7,2,497,2389,4.8,15
3,74,BAL,Yamon Figurs,WR,24,4,0,0,0,2,2,34,,,,,,3,-7,0,5,103,1,Kansas St.,71,174,4.3,,,123,4.21,6.85,34,0,,,,,,,,,73,1144,15.7,6,5,79,15.8,2
3,75,ATL,Laurent Robinson,WR,22,6,0,0,1,16,3,59,,,,,,2,-14,0,167,2110,15,Illinois St.,74,199,4.38,19,39,127,4.28,6.83,41,0,,,,,,,,,192,2110,15.7,29,0,0,0,0
3,76,SFO,Jason Hill,WR,22,6,0,0,1,9,4,54,,,,,,2,5,0,78,1043,9,Washington St.,73,204,4.32,,37,123,4.22,7.02,43,0,,,,,,,,,148,2704,18.3,32,3,-10,-3.3,0
